source_file,auction_date,number,brand,model,year,month,cc,color,transmission,tax,violation,strong_violation,price,grade,mileage_km,mileage_available,vehicle_type
2022-09-21_行將競拍結果.md,2022-09-21,2844,AUDI,A4,2011,8,1798,深藍,手自,0,0,0,614000,B+,62361,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7809,AUDI,A4,2015,5,1798,白,手自,0,0,0,746000,A,37999,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2833,AUDI,A5,2010,4,1984,灰,手自,0,0,0,270000,B,158181,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7530,AUDI,A8,2015,2,1968,黑,手自,0,0,0,676000,A,125479,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7264,AUDI,A8L,2010,10,2995,深藍,手自,0,0,0,350000,B+,122020,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,824,BENZ,A200,2019,6,2967,白,手自,0,0,0,726000,A,77356,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7257,BENZ,A250,2014,12,1991,紅,手自,7661,0,0,770000,B+,107916,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2812,BENZ,B200,2012,10,1595,銀,手自,0,0,0,312000,A,186335,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7247,BENZ,C180,2011,9,1595,黑,手自,0,0,0,606000,A,96636,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7242,BENZ,C180,2013,7,1595,銀,手自,0,0,0,490000,A,54055,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2815,BENZ,C200K,2008,10,1595,黑,手自,0,0,0,1312000,A,76811,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2321,BENZ,C220,2009,7,2143,黑,手自,0,0,0,131000,A,214883,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2078,BENZ,C300,2007,10,2996,黑,手自,0,0,0,123000,A,247912,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7309,BENZ,CLA200,2017,6,1991,黑,手自,0,0,0,955000,B,167267,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,513,BENZ,E200,2009,10,1796,黑,手自,7406,13748,0,240000,N,,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7205,BENZ,E250,2015,4,1991,銀,手自,0,0,0,778000,B,102735,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,8805,BENZ,E250,2017,5,1991,黑,手自,0,0,0,1280000,A,119888,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7271,BENZ,GLE250D,2018,2,2143,黑,手自,0,0,0,1405000,B+,81231,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2047,BENZ,R350,2007,2,2996,黑,手自,0,0,0,1402000,A,103218,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,210,BENZ,S350,2008,7,3498,黑,手自,36860,0,0,82000,B,115623,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7245,BENZ,S400L,2016,1,2987,黑,手自,0,0,0,1646000,A,81400,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2527,BENZ,S500,2007,3,5462,黑,自,0,0,0,206000,A,62180,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,8541,BENZ,VITO,2016,10,2143,黑,自,0,0,0,925000,A,166996,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7817,BMW,118I,2016,5,1598,藍,手自,0,0,0,448000,A,166974,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,3300,BMW,118I,2017,3,1499,白,手自,0,0,0,767000,A,38771,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2098,BMW,320D,2011,7,1499,黑,手自,0,0,0,1250000,A,16187,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,7251,BMW,320GT,2017,11,1998,白,手自,0,0,0,1080000,A,58347,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,8209,BMW,420,2016,3,1998,白,手自,0,0,0,982000,B,62236,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,8102,BMW,520D,2018,2,1995,黑,手自,0,0,0,829000,B,99264,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,230,BMW,523,2006,4,2497,黑,手自,22410,13600,0,20000,B,,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,245,BMW,525,2006,3,2497,黑,手自,0,0,0,408000,B+,129482,1,automobile
2022-09-21_行將競拍結果.md,2022-09-21,2328,BMW,535I,2011,2,2979,灰,手自,8758,0,0,608000,B,161853,1,automobile
