source_file,auction_date,number,brand,model,year,month,cc,color,transmission,tax,violation,strong_violation,price,grade,mileage_km,mileage_available,vehicle_type
2022-09-21_行將競拍結果.md,2022-09-21,2521,GOGORO,GOGORO 3,2019,5,8,淺藍,自,0,0,0,25000,N,28900,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,2089,SUZUKI,JIMNY,2001,2,1328,銀,自,0,0,0,101000,A,189789,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,2561,SUZUKI,JIMNY,2003,7,1328,銀,自,0,0,0,105000,A,305941,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,1046,SUZUKI,JIMNY,2013,6,1328,銀,自,0,0,0,315000,A,136285,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,510,SUZUKI,SWIFT,2007,5,1328,深藍,自,0,0,0,423000,A,33927,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,2331,SUZUKI,SWIFT,2013,5,1372,紅,自,0,0,0,230000,C,70995,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,3939,SUZUKI,VITARA,2016,9,1586,黑,手自,0,0,0,255000,A,208841,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,204,SYM,WOO 100,2020,3,124,紅,自,450,0,0,36000,N,19110,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,261,YAMAHA,CYGNUS-X,2017,9,124,白灰,自,1800,0,0,41000,N,2840,1,motorcycle
2022-09-21_行將競拍結果.md,2022-09-21,278,YAMAHA,FORCE,2019,5,155,深藍灰,自,0,3000,0,45000,N,,0,motorcycle
2023-08-02_行將競拍結果.md,2023-08-02,2005,SUZUKI,JIMNY,2008,6,1328,深藍,自,0,0,0,138000,C,90339,1,motorcycle
2023-08-02_行將競拍結果.md,2023-08-02,2116,SUZUKI,SWIFT,2006,8,1490,黑白,自,0,0,0,65000,B,261011,1,motorcycle
2023-08-02_行將競拍結果.md,2023-08-02,2844,SUZUKI,SWIFT,2008,9,1490,白,自,0,0,0,70000,A,195927,1,motorcycle
2023-08-02_行將競拍結果.md,2023-08-02,1084,SUZUKI,SWIFT,2019,9,998,銀黑,手自,0,0,0,450000,A,40070,1,motorcycle
2023-08-02_行將競拍結果.md,2023-08-02,701,SYM,FIDDLE 115,2021,11,115,粉紅,自,600,0,0,33000,N,6443,1,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,308,GOGORO,GOGORO 2,2020,9,8,深灰,自,0,0,0,10000,N,,0,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,1098,SUZUKI,IGNIS,2019,1,1242,紅黑,自,0,0,0,364000,A,30599,1,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,6324,SUZUKI,SWIFT,2007,4,1490,黑白,自,0,0,0,65000,B,143425,1,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,2857,SUZUKI,SWIFT,2019,8,1373,灰,手自,0,0,0,380000,C,14623,1,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,302,SYM,FIDDLE,2023,1,124,灰紅,自,1350,0,3,47000,N,1257,1,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,954,SYM,WOO 115,2020,6,124,銀,自,900,0,0,62000,N,,0,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,333,YAMAHA,AXIS Z,2018,6,124,深灰灰,自,0,0,0,17000,N,6967,1,motorcycle
2023-08-09_行將競拍結果.md,2023-08-09,304,YAMAHA,VINOORA,2020,10,125,灰,自,638,9200,4,31000,N,18887,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,347,GOGORO,GOGORO 1,2017,9,8,黃,自,0,700,0,14000,N,,0,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,720,HONDA,CBR650R,2022,9,399,紅,手,2520,0,0,155000,N,48678,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,2060,SUZUKI,IGNIS,2017,10,1242,白,自,0,0,0,258000,C,93518,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,2833,SUZUKI,SWIFT,2005,10,1490,灰,自,0,0,0,60000,C,105554,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,332,SYM,DUKE 125,2019,7,124,深藍,自,0,4800,0,11000,N,18330,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,717,SYM,JET S,2018,3,124,白藍,自,450,1800,0,42000,N,9016,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,940,SYM,JET S,2018,7,124,黑紅,自,450,0,0,11000,N,73025,1,motorcycle
2023-08-11_行將競拍結果.md,2023-08-11,342,YAMAHA,GRYPHUS,2021,9,125,白深灰,自,450,20900,2,52000,N,,0,motorcycle
2023-08-16_行將競拍結果.md,2023-08-16,356,GOGORO,GOGORO VIVA,2021,3,4,藍,自,0,0,0,5000,N,,0,motorcycle
2023-08-16_行將競拍結果.md,2023-08-16,931,SUZUKI,NEX,2018,4,1590,銀,自,0,0,0,96000,A,175419,1,motorcycle
2023-08-16_行將競拍結果.md,2023-08-16,1096,SUZUKI,SWIFT,2012,7,1586,白,手自,0,0,0,250000,A,92724,1,motorcycle
2023-08-16_行將競拍結果.md,2023-08-16,1075,SUZUKI,SWIFT,2013,6,1586,銀,手自,0,0,0,316000,A,59602,1,motorcycle
2023-08-16_行將競拍結果.md,2023-08-16,916,SYM,MII,2017,10,111,黑,自,1350,0,0,14000,N,12058,1,motorcycle
